Country,Region,Status,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Adult_mortality_cat,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,GDP_per_capita_cat,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Schooling_cat,Life_expectancy
Costa Rica,Central America and Caribbean,Developing,2014,7.9,9.3,87.237,Bajo,3.12,91,90,27.2,91,91,0.19,11355,Alto,4.8,1.7,1.7,8.6,Medio,79.4
Costa Rica,Central America and Caribbean,Developing,2015,7.7,9.1,85.6715,Bajo,3.19,92,90,27.3,92,92,0.19,11643,Alto,4.85,1.7,1.7,8.8,Medio,79.6
Cote d'Ivoire,Africa,Developing,2000,95.6,143.3,456.1585,Alto,4.65,59,64,22.7,66,65,3.99,1848,Bajo,16.45,8.1,8.1,3.3,Bajo,49.6
Cote d'Ivoire,Africa,Developing,2001,93.7,140.1,462.512,Alto,4.67,59,64,22.7,70,66,3.66,1765,Bajo,16.85,7.9,7.9,3.3,Bajo,49.5
Cote d'Ivoire,Africa,Developing,2002,91.6,136.7,468.8655,Alto,4.56,48,64,22.8,70,64,3.2,1679,Bajo,17.23,7.7,7.7,3.4,Bajo,49.5
Cote d'Ivoire,Africa,Developing,2003,89.6,133.1,461.2065,Alto,4.65,63,64,22.9,68,61,2.91,1567,Bajo,17.6,7.5,7.5,3.5,Bajo,49.6
Cote d'Ivoire,Africa,Developing,2004,87.5,129.5,453.5475,Alto,0.85,67,64,23,76,67,2.65,1583,Bajo,17.97,7.3,7.3,3.6,Bajo,49.8
Cote d'Ivoire,Africa,Developing,2005,85.2,125.6,445.889,Alto,0.85,76,64,23.1,87,76,2.33,1565,Bajo,18.35,7.2,7.1,3.7,Bajo,50.1
Cote d'Ivoire,Africa,Developing,2006,83.4,122,438.23,Alto,0.81,77,64,23.2,76,77,2.12,1575,Bajo,18.75,7,6.9,3.8,Bajo,50.6
Cote d'Ivoire,Africa,Developing,2007,81.1,118.2,430.5715,Alto,0.91,76,64,23.3,75,76,1.85,1558,Bajo,19.17,6.8,6.7,3.9,Bajo,51.1
Cote d'Ivoire,Africa,Developing,2008,78.7,114.2,427.1045,Alto,0.97,74,64,23.3,58,74,1.66,1596,Bajo,19.61,6.6,6.6,4,Bajo,51.7
Cote d'Ivoire,Africa,Developing,2009,76.6,109.9,423.638,Alto,0.99,81,64,23.4,77,81,1.45,1616,Bajo,20.06,6.5,6.4,4.1,Bajo,52.3
Cote d'Ivoire,Africa,Developing,2010,74.7,106.3,420.1715,Alto,1.12,85,64,23.5,81,85,1.24,1687,Bajo,20.53,6.3,6.2,4.2,Bajo,53
Cote d'Ivoire,Africa,Developing,2011,72.9,103.1,416.7045,Alto,1.14,62,64,23.5,58,62,1.16,1559,Bajo,21.03,6.1,6,4.4,Bajo,53.6
Cote d'Ivoire,Africa,Developing,2012,71,100.1,413.238,Alto,1.2,82,64,23.6,83,82,1,1637,Bajo,21.55,5.9,5.9,4.5,Bajo,54.3
Cote d'Ivoire,Africa,Developing,2013,69.1,97,407.6445,Alto,1.22,80,64,23.6,79,80,0.84,1769,Bajo,22.09,5.8,5.7,4.7,Bajo,54.9
Cote d'Ivoire,Africa,Developing,2014,67.3,93.6,402.0515,Alto,1.35,76,64,23.7,76,76,0.73,1887,Bajo,22.65,5.6,5.6,4.4,Bajo,55.5
Cote d'Ivoire,Africa,Developing,2015,65.7,90.8,396.458,Alto,1.54,83,64,23.7,81,83,0.63,1973,Bajo,23.23,5.5,5.5,5,Bajo,56.1
Croatia,European Union,Developed,2000,7.2,8.3,122.7795,Bajo,13.24,96,98,25.6,94,93,0.01,8806,Alto,4.47,2.1,2.1,9.4,Medio,72.8
Croatia,European Union,Developed,2001,6.9,8,121.781,Bajo,13.69,96,98,25.7,94,94,0.01,9428,Alto,4.3,2,2,9.8,Alto,74.5
Croatia,European Union,Developed,2002,6.6,7.7,120.782,Bajo,13.88,96,98,25.8,95,95,0.02,9962,Alto,4.3,2,2,9.8,Alto,74.7
Croatia,European Union,Developed,2003,6.3,7.3,117.911,Bajo,12.99,96,98,25.9,95,94,0.02,10510,Alto,4.3,1.9,1.9,9.8,Alto,74.6
Croatia,European Union,Developed,2004,6.1,7,115.04,Bajo,12.42,96,98,26,96,96,0.02,10943,Alto,4.3,1.9,1.9,9.7,Alto,75.5
Croatia,European Union,Developed,2005,5.8,6.7,112.169,Bajo,10.72,96,98,26.1,96,96,0.02,11400,Alto,4.31,1.8,1.8,9.7,Alto,75.2
Croatia,European Union,Developed,2006,5.5,6.4,109.298,Bajo,10.98,96,98,26.2,96,96,0.02,11960,Alto,4.31,1.8,1.8,9.9,Alto,75.8
Croatia,European Union,Developed,2007,5.3,6.2,106.427,Bajo,11.36,95,98,26.3,96,96,0.02,12550,Alto,4.31,1.8,1.7,10.1,Alto,75.7
Croatia,European Union,Developed,2008,5.1,5.9,104.768,Bajo,11.36,97,98,26.4,96,96,0.02,12790,Alto,4.31,1.7,1.7,10.3,Alto,75.9
Croatia,European Union,Developed,2009,4.9,5.7,103.109,Bajo,11.11,97,98,26.6,96,96,0.02,11871,Alto,4.31,1.7,1.6,10.6,Alto,76.2
Croatia,European Union,Developed,2010,4.7,5.5,101.45,Bajo,10.71,97,98,26.7,97,97,0.02,11749,Alto,4.3,1.6,1.6,10.8,Alto,76.5
Croatia,European Union,Developed,2011,4.5,5.3,99.7905,Bajo,11.01,97,98,26.8,96,96,0.02,11780,Alto,4.28,1.6,1.5,11,Alto,76.8
Croatia,European Union,Developed,2012,4.4,5.2,98.132,Bajo,10.58,98,97,26.9,96,96,0.02,11547,Alto,4.27,1.5,1.5,11,Alto,76.9
Croatia,European Union,Developed,2013,4.3,5.1,95.4975,Bajo,10.39,96,97,27,96,96,0.02,11537,Alto,4.26,1.5,1.5,11,Alto,77.1
Croatia,European Union,Developed,2014,4.3,5,92.863,Bajo,9.5,95,97,27.1,95,95,0.02,11544,Alto,4.24,1.5,1.5,11.1,Alto,77.5
Croatia,European Union,Developed,2015,4.2,4.9,90.2285,Bajo,9.64,94,96,27.3,94,94,0.02,11933,Alto,4.2,1.5,1.4,11.2,Alto,77.3
Cuba,Central America and Caribbean,Developing,2000,7,8.8,111.3225,Bajo,3.93,98,75,24.5,98,95,0.12,4106,Medio,11.13,3.6,3.4,9.6,Alto,76.7
Cuba,Central America and Caribbean,Developing,2001,6.8,8.5,109.7575,Bajo,4.05,98,77,24.6,99,98,0.12,4222,Medio,11.16,3.6,3.4,9.7,Alto,76.9
Cuba,Central America and Caribbean,Developing,2002,6.5,8.2,108.1925,Bajo,4.1,98,71,24.7,98,99,0.13,4269,Medio,11.2,3.5,3.3,9.5,Medio,77.1
Cuba,Central America and Caribbean,Developing,2003,6.3,7.9,106.028,Bajo,4.39,99,78,24.8,98,72,0.13,4419,Medio,11.23,3.5,3.3,9.8,Alto,77.3
Cuba,Central America and Caribbean,Developing,2004,6.1,7.6,103.8635,Bajo,4.36,99,83,24.8,98,88,0.13,4665,Medio,11.25,3.4,3.3,9.8,Alto,77.5
Cuba,Central America and Caribbean,Developing,2005,5.9,7.4,101.699,Bajo,4.48,95,53,24.9,99,89,0.14,5183,Medio,11.26,3.4,3.3,9.9,Alto,77.7
Cuba,Central America and Caribbean,Developing,2006,5.7,7.2,99.5345,Bajo,4.17,89,97,25,99,89,0.14,5808,Medio,11.26,3.4,3.2,10.1,Alto,77.9
Cuba,Central America and Caribbean,Developing,2007,5.5,6.9,97.3705,Bajo,4.12,93,99,25,99,93,0.15,6236,Medio,11.25,3.4,3.2,10.4,Alto,78
Cuba,Central America and Caribbean,Developing,2008,5.4,6.7,96.542,Bajo,4.25,95,98,25.1,99,95,0.15,6501,Medio,11.24,3.4,3.2,10.6,Alto,78.2
Cuba,Central America and Caribbean,Developing,2009,5.2,6.5,95.7135,Bajo,3.97,96,95,25.2,99,96,0.15,6601,Medio,11.23,3.4,3.2,10.8,Alto,78.3
Cuba,Central America and Caribbean,Developing,2010,5.1,6.4,94.886,Bajo,4.28,96,98,25.2,99,96,0.15,6759,Medio,11.23,3.4,3.2,11,Alto,78.3
Cuba,Central America and Caribbean,Developing,2011,5,6.2,94.0575,Bajo,4.32,96,95,25.3,99,97,0.16,6942,Medio,11.24,3.4,3.2,11.3,Alto,78.4
Cuba,Central America and Caribbean,Developing,2012,4.8,6.1,93.229,Bajo,4.33,96,96,25.4,98,99,0.16,7138,Medio,11.26,3.4,3.2,10.8,Alto,78.4
Cuba,Central America and Caribbean,Developing,2013,4.7,5.9,91.899,Bajo,4.35,96,97,25.4,99,99,0.16,7318,Medio,11.28,3.4,3.3,11,Alto,78.5
Cuba,Central America and Caribbean,Developing,2014,4.6,5.8,90.569,Bajo,4.54,97,98,25.5,99,99,0.16,7379,Medio,11.31,3.4,3.3,11.2,Alto,78.5
Cuba,Central America and Caribbean,Developing,2015,4.5,5.7,89.2395,Bajo,4.65,99,99,25.6,99,99,0.16,7694,Medio,11.32,3.5,3.3,11.4,Alto,78.6
Cyprus,European Union,Developed,2000,5.6,6.5,69.0645,Bajo,9.56,89,91,26.3,97,97,0.03,22382,Alto,0.94,0.9,1,10,Alto,78
Cyprus,European Union,Developed,2001,5.2,6,67.9315,Bajo,10.16,89,91,26.3,97,97,0.03,23018,Alto,0.96,0.9,1,10.1,Alto,78.1
Cyprus,European Union,Developed,2002,4.8,5.6,66.799,Bajo,11.68,88,91,26.4,98,98,0.03,23603,Alto,0.98,0.9,1,10.2,Alto,78.3
Cyprus,European Union,Developed,2003,4.5,5.2,65.7605,Bajo,10.62,88,91,26.5,98,98,0.03,23929,Alto,0.99,0.9,1,10.4,Alto,78.4
Cyprus,European Union,Developed,2004,4.1,4.8,64.721,Bajo,13.03,88,91,26.5,98,98,0.04,24798,Alto,1.01,0.9,1,10.5,Alto,78.5
Cyprus,European Union,Developed,2005,3.8,4.5,63.682,Bajo,11.41,88,91,26.6,98,98,0.04,25630,Alto,1.03,0.9,1,10.7,Alto,78.6
Cyprus,European Union,Developed,2006,3.6,4.2,62.643,Bajo,11.48,93,90,26.6,97,97,0.04,26394,Alto,1.05,0.9,1,10.9,Alto,78.8
Cyprus,European Union,Developed,2007,3.3,3.9,61.604,Bajo,11.58,93,93,26.7,97,97,0.05,27155,Alto,1.06,0.9,1,11.2,Alto,78.9
Cyprus,European Union,Developed,2008,3.1,3.7,60.207,Bajo,12.03,93,89,26.7,97,97,0.05,27447,Alto,1.08,0.9,1,11.3,Alto,79.1
Cyprus,European Union,Developed,2009,3,3.5,58.8095,Bajo,10.81,96,88,26.7,99,99,0.05,26182,Alto,1.1,0.9,1,11.3,Alto,79.2
Cyprus,European Union,Developed,2010,2.8,3.4,57.4125,Bajo,11.33,96,88,26.7,99,99,0.06,26020,Alto,1.11,0.9,1,11.5,Alto,79.4
Cyprus,European Union,Developed,2011,2.7,3.2,56.015,Bajo,10.71,96,88,26.8,99,99,0.06,25466,Alto,1.12,0.9,1,11.6,Alto,79.6
Cyprus,European Union,Developed,2012,2.6,3.1,54.618,Bajo,10.58,96,88,26.8,99,99,0.06,24217,Alto,1.14,0.9,1,11.8,Alto,79.8
Cyprus,European Union,Developed,2013,2.5,3,53.6265,Bajo,9.07,96,88,26.8,99,99,0.06,22682,Alto,1.14,0.9,1,12,Alto,80
Cyprus,European Union,Developed,2014,2.4,2.9,52.635,Bajo,9.63,96,88,26.8,99,99,0.06,22514,Alto,1.15,0.9,1,11.9,Alto,80.2
Cyprus,European Union,Developed,2015,2.4,2.9,51.6435,Bajo,9.59,97,88,26.8,97,97,0.06,23408,Alto,1.16,1,1,11.9,Alto,80.4
Czechia,European Union,Developed,2000,4.5,5.5,124.38,Bajo,13.9,92,98,26.5,98,98,0.08,12312,Alto,10.26,2.3,2.3,10.6,Alto,75
Czechia,European Union,Developed,2001,4.3,5.2,121.6575,Bajo,13.64,92,98,26.5,97,98,0.08,12735,Alto,10.22,2.2,2.3,10.9,Alto,75.2
Czechia,European Union,Developed,2002,4.1,5,118.748,Bajo,13.77,86,98,26.5,97,98,0.08,12960,Alto,10.2,2.2,2.3,11.1,Alto,75.2
Czechia,European Union,Developed,2003,3.9,4.8,120.2325,Bajo,13.87,92,98,26.6,97,97,0.08,13428,Alto,10.19,2.2,2.2,11.4,Alto,75.2
Czechia,European Union,Developed,2004,3.7,4.6,114.2985,Bajo,13.42,98,98,26.6,96,98,0.08,14070,Alto,10.2,2.1,2.2,11.6,Alto,75.7
Czechia,European Union,Developed,2005,3.6,4.4,112.1435,Bajo,13.66,99,98,26.6,96,97,0.08,14978,Alto,10.21,2.1,2.1,11.9,Alto,75.9
Czechia,European Union,Developed,2006,3.4,4.1,106.5445,Bajo,13.58,98,98,26.7,98,98,0.08,15949,Alto,10.24,2,2.1,12.1,Alto,76.5
Czechia,European Union,Developed,2007,3.2,3.9,105.2965,Bajo,13.83,99,98,26.7,99,99,0.08,16739,Alto,10.3,2,2.1,12.2,Alto,76.7
Czechia,European Union,Developed,2008,3,3.7,104.5205,Bajo,13.65,99,98,26.7,99,99,0.08,17047,Alto,10.38,1.9,2,12.2,Alto,77
Czechia,European Union,Developed,2009,2.9,3.5,100.7625,Bajo,13.43,99,98,26.8,99,99,0.08,16161,Alto,10.44,1.9,2,12.3,Alto,77.1
Czechia,European Union,Developed,2010,2.7,3.4,97.8545,Bajo,12.68,99,98,26.8,99,99,0.08,16506,Alto,10.47,1.9,2,12.4,Alto,77.4
Czechia,European Union,Developed,2011,2.6,3.3,95.5795,Bajo,12.56,99,98,26.9,99,99,0.08,16762,Alto,10.5,1.9,1.9,12.5,Alto,77.9
Czechia,European Union,Developed,2012,2.6,3.2,92.0385,Bajo,12.83,99,99,26.9,99,99,0.08,16607,Alto,10.51,1.8,1.9,12.4,Alto,78.1
Czechia,European Union,Developed,2013,2.5,3.1,88.7525,Bajo,12.54,99,99,27,99,98,0.08,16594,Alto,10.51,1.8,1.9,12.6,Alto,78.2
Czechia,European Union,Developed,2014,2.5,3.1,83.987,Bajo,12.75,99,96,27,99,97,0.08,16951,Alto,10.53,1.8,1.9,12.8,Alto,78.8
Czechia,European Union,Developed,2015,2.5,3.2,82.5385,Bajo,12.76,97,99,27,97,97,0.08,17830,Alto,10.55,1.8,1.8,12.7,Alto,78.6
Denmark,European Union,Developed,2000,4.7,5.7,102.388,Bajo,11.68,88,89,24.9,97,97,0.04,49242,Alto,5.34,1.3,1,10.7,Alto,76.6
Denmark,European Union,Developed,2001,4.7,5.6,101.2215,Bajo,11.54,88,87,25,97,97,0.04,49470,Alto,5.36,1.3,1,11.4,Alto,76.8
Denmark,European Union,Developed,2002,4.6,5.5,99.934,Bajo,11.32,88,92,25,98,98,0.04,49542,Alto,5.38,1.2,1,12.1,Alto,76.9
Denmark,European Union,Developed,2003,4.5,5.4,97.2905,Bajo,11.53,88,88,25.1,96,96,0.04,49600,Alto,5.39,1.2,1,12.8,Alto,77.1
Denmark,European Union,Developed,2004,4.3,5.2,95.0035,Bajo,11.26,88,88,25.1,95,95,0.04,50792,Alto,5.4,1.2,1,12.8,Alto,77.5
Denmark,European Union,Developed,2005,4.2,5,90.2045,Bajo,11.26,88,91,25.1,93,93,0.04,51836,Alto,5.42,1.2,1,12.8,Alto,77.8
Denmark,European Union,Developed,2006,4,4.8,92.1215,Bajo,11.02,88,91,25.2,93,93,0.04,53687,Alto,5.44,1.2,0.9,12.8,Alto,78.1
Denmark,European Union,Developed,2007,3.8,4.5,92.724,Bajo,10.99,88,88,25.2,87,87,0.04,53936,Alto,5.46,1.2,0.9,12.5,Alto,78.2
Denmark,European Union,Developed,2008,3.7,4.4,87.314,Bajo,10.7,88,87,25.2,88,88,0.04,53345,Alto,5.49,1.1,0.9,12.9,Alto,78.4
Denmark,European Union,Developed,2009,3.6,4.2,85.8135,Bajo,10.08,88,85,25.3,89,89,0.04,50457,Alto,5.52,1.1,0.9,12.7,Alto,78.6
Denmark,European Union,Developed,2010,3.5,4.1,83.927,Bajo,10.27,88,85,25.3,90,90,0.04,51173,Alto,5.55,1.1,0.9,12.7,Alto,79.1
Denmark,European Union,Developed,2011,3.4,4.1,78.101,Bajo,10.45,88,86,25.3,91,91,0.04,51644,Alto,5.57,1.1,0.9,12.7,Alto,79.8
Denmark,European Union,Developed,2012,3.5,4.1,75.094,Bajo,9.23,88,87,25.3,94,94,0.04,51567,Alto,5.59,1.1,0.9,12.8,Alto,80.1
Denmark,European Union,Developed,2013,3.5,4.1,72.3825,Bajo,9.44,88,86,25.3,94,94,0.04,51832,Alto,5.61,1.1,0.9,13.2,Alto,80.3
Denmark,European Union,Developed,2014,3.5,4.1,69.2705,Bajo,9.55,88,84,25.3,94,94,0.04,52405,Alto,5.64,1.1,0.9,12.8,Alto,80.7
Denmark,European Union,Developed,2015,3.5,4.1,67.171,Bajo,9.42,88,80,25.3,93,93,0.03,53255,Alto,5.68,1.1,0.9,12.5,Alto,80.7
Djibouti,Africa,Developing,2000,79.9,101,319.372,Alto,1.24,88,82,23.5,46,46,2.96,768,Bajo,0.72,6.4,6.1,3.2,Bajo,57
Djibouti,Africa,Developing,2001,78.2,98.6,321.3015,Alto,1.33,88,82,23.6,49,53,2.19,781,Bajo,0.73,6.3,6.1,3.3,Bajo,57.1
Djibouti,Africa,Developing,2002,76.5,96.1,323.2315,Alto,1.11,88,82,23.6,62,62,1.78,791,Bajo,0.75,6.2,6,3.4,Bajo,57.2
Djibouti,Africa,Developing,2003,74.7,93.6,317.1835,Alto,0.52,88,82,23.6,68,68,1.16,819,Bajo,0.76,6.1,5.9,3.5,Bajo,57.4
Djibouti,Africa,Developing,2004,72.9,91.1,311.1355,Alto,0.51,88,82,23.7,64,64,0.85,863,Bajo,0.77,6,5.9,3.6,Bajo,57.7
Djibouti,Africa,Developing,2005,71.2,88.7,305.088,Alto,1.22,88,82,23.7,71,71,0.67,905,Bajo,0.78,5.9,5.8,3.7,Bajo,58
Djibouti,Africa,Developing,2006,69.4,86.1,299.0395,Alto,1.03,88,82,23.7,72,72,0.62,968,Bajo,0.79,5.8,5.7,3.8,Bajo,58.3
Djibouti,Africa,Developing,2007,67.6,83.6,292.992,Alto,0.45,88,82,23.8,88,88,0.55,1053,Bajo,0.81,5.8,5.7,3.9,Bajo,58.7
Djibouti,Africa,Developing,2008,65.9,81.2,286.076,Alto,0.49,88,82,23.8,89,89,0.5,1224,Bajo,0.82,5.7,5.6,3.9,Bajo,59.1
Djibouti,Africa,Developing,2009,64.2,78.8,279.1605,Alto,0.47,89,82,23.8,89,89,0.48,1267,Bajo,0.83,5.7,5.6,3.9,Bajo,59.6
Djibouti,Africa,Developing,2010,62.5,76.6,272.2445,Alto,0.48,88,82,23.9,88,88,0.43,1343,Bajo,0.84,5.6,5.6,4,Bajo,60.1
Djibouti,Africa,Developing,2011,60.9,74.4,265.328,Alto,0.39,87,82,23.9,87,87,0.39,1452,Bajo,0.85,5.6,5.5,4,Bajo,60.7
Djibouti,Africa,Developing,2012,59.3,72.2,258.4125,Alto,0.41,81,82,23.9,81,81,0.36,1559,Bajo,0.87,5.6,5.5,4,Bajo,61.4
Djibouti,Africa,Developing,2013,57.8,70.1,256.191,Alto,0.36,82,82,23.9,82,82,0.29,2384,Medio,0.88,5.6,5.4,4,Bajo,62.2
Djibouti,Africa,Developing,2014,56.2,68,253.97,Alto,0.32,78,82,24,78,78,0.25,2509,Medio,0.9,5.6,5.4,4.1,Bajo,63.2
Djibouti,Africa,Developing,2015,54.6,65.8,251.749,Alto,0.32,84,82,24,84,84,0.22,2653,Medio,0.91,5.6,5.4,4.1,Bajo,64.1
Dominican Republic,Central America and Caribbean,Developing,2000,32.4,40,186.951,Medio,6.72,68,83,24.9,71,78,1.02,4209,Medio,8.47,3.8,3.7,6.4,Medio,69.4
Dominican Republic,Central America and Caribbean,Developing,2001,31.7,39,185.7315,Medio,6.36,66,83,25,71,72,0.94,4249,Medio,8.6,3.8,3.6,6.5,Medio,69.7
Dominican Republic,Central America and Caribbean,Developing,2002,31.1,38.1,184.5125,Medio,6.65,63,83,25.1,74,82,0.88,4376,Medio,8.72,3.7,3.6,6.7,Medio,70
Dominican Republic,Central America and Caribbean,Developing,2003,30.6,37.4,182.5815,Medio,6.53,79,83,25.2,65,79,0.85,4256,Medio,8.85,3.6,3.5,6.8,Medio,70.2
Dominican Republic,Central America and Caribbean,Developing,2004,30.1,36.9,180.6505,Medio,5.31,82,83,25.3,66,79,0.79,4305,Medio,8.97,3.6,3.5,6.9,Medio,70.5
Dominican Republic,Central America and Caribbean,Developing,2005,29.8,36.4,178.7195,Medio,5.75,87,83,25.4,86,87,0.74,4647,Medio,9.1,3.5,3.4,7,Medio,70.8
Dominican Republic,Central America and Caribbean,Developing,2006,29.5,36,176.789,Medio,5.84,84,83,25.5,88,89,0.7,5007,Medio,9.22,3.5,3.4,7.1,Medio,71
Dominican Republic,Central America and Caribbean,Developing,2007,29.3,35.7,174.858,Medio,5.92,81,83,25.6,86,85,0.65,5309,Medio,9.34,3.4,3.4,7.2,Medio,71.3
Dominican Republic,Central America and Caribbean,Developing,2008,29.1,35.5,173.0485,Medio,5.91,81,83,25.7,86,82,0.59,5410,Medio,9.46,3.4,3.3,7.2,Medio,71.6
Dominican Republic,Central America and Caribbean,Developing,2009,29,35.3,171.2385,Medio,5.63,80,83,25.8,85,82,0.55,5393,Medio,9.58,3.4,3.3,7.2,Medio,71.8
Dominican Republic,Central America and Caribbean,Developing,2010,28.9,35.1,169.4285,Medio,5.54,83,83,25.9,85,88,0.53,5772,Medio,9.7,3.3,3.3,7.3,Medio,72
Dominican Republic,Central America and Caribbean,Developing,2011,28.8,35,167.619,Medio,5.47,80,83,26,84,84,0.49,5881,Medio,9.81,3.3,3.2,7.4,Medio,72.3
Dominican Republic,Central America and Caribbean,Developing,2012,28.8,35,165.809,Medio,5.49,74,83,26.1,85,85,0.46,5969,Medio,9.93,3.3,3.2,7.5,Medio,72.5
Dominican Republic,Central America and Caribbean,Developing,2013,28.8,35,164.4115,Medio,5.41,80,83,26.2,82,83,0.43,6187,Medio,10.05,3.3,3.2,7.6,Medio,72.8
Dominican Republic,Central America and Caribbean,Developing,2014,28.8,35,163.0145,Medio,5.23,89,83,26.3,90,91,0.4,6547,Medio,10.17,3.3,3.2,7.8,Medio,73
Dominican Republic,Central America and Caribbean,Developing,2015,28.8,35,161.617,Medio,5.39,81,83,26.4,87,85,0.38,6922,Medio,10.28,3.3,3.2,7.8,Medio,73.2
Ecuador,South America,Developing,2000,24.7,29.5,158.027,Medio,4.01,36,95,25.3,83,87,0.23,4209,Medio,12.68,1.6,1.5,7,Medio,72.8
Ecuador,South America,Developing,2001,23.4,28,156.506,Medio,4.19,69,95,25.4,90,89,0.22,4299,Medio,12.91,1.6,1.5,7,Medio,73.1
Ecuador,South America,Developing,2002,22.4,26.6,154.9855,Medio,3.98,75,95,25.5,88,88,0.21,4397,Medio,13.14,1.5,1.4,7.1,Medio,73.4
Ecuador,South America,Developing,2003,21.5,25.4,152.0585,Medio,4.04,82,95,25.7,97,87,0.2,4441,Medio,13.37,1.5,1.4,7.1,Medio,73.6
Ecuador,South America,Developing,2004,20.7,24.4,149.1315,Medio,4.09,88,95,25.8,90,88,0.2,4725,Medio,13.6,1.5,1.3,7.2,Medio,73.9
Ecuador,South America,Developing,2005,19.9,23.5,146.204,Medio,3.9,92,95,25.9,89,92,0.18,4893,Medio,13.83,1.4,1.3,7.3,Medio,74.1
Ecuador,South America,Developing,2006,19.2,22.6,143.277,Medio,3.88,96,96,26,92,96,0.18,5023,Medio,14.06,1.4,1.3,7.3,Medio,74.3
Ecuador,South America,Developing,2007,18.5,21.7,140.35,Medio,3.99,94,95,26.1,95,96,0.17,5048,Medio,14.3,1.4,1.3,7.3,Medio,74.5
Ecuador,South America,Developing,2008,17.7,20.8,138.1625,Medio,4.12,93,94,26.2,94,96,0.17,5281,Medio,14.54,1.3,1.2,7.9,Medio,74.7
Ecuador,South America,Developing,2009,17,19.9,135.975,Medio,4.2,91,99,26.4,91,94,0.16,5225,Medio,14.77,1.3,1.2,7.9,Medio,74.9
Ecuador,South America,Developing,2010,16.3,19,133.788,Medio,3.97,90,91,26.5,88,91,0.16,5324,Medio,15.01,1.3,1.2,7.9,Medio,75.1
Ecuador,South America,Developing,2011,15.6,18.1,131.6005,Medio,3.99,88,92,26.6,85,88,0.16,5655,Medio,15.24,1.3,1.2,8,Medio,75.3
Ecuador,South America,Developing,2012,14.9,17.3,129.413,Medio,3.92,88,81,26.7,85,87,0.15,5885,Medio,15.47,1.3,1.2,8.1,Medio,75.5
Ecuador,South America,Developing,2013,14.3,16.6,127.577,Bajo,3.78,87,70,26.9,87,87,0.16,6084,Medio,15.71,1.3,1.1,8.3,Medio,75.7
Ecuador,South America,Developing,2014,13.7,15.9,125.742,Bajo,3.81,83,59,27,84,83,0.16,6218,Medio,15.95,1.2,1.1,8.5,Medio,75.9
Ecuador,South America,Developing,2015,13.2,15.4,123.906,Bajo,3.69,78,76,27.1,84,78,0.16,6124,Medio,16.21,1.2,1.1,8.4,Medio,76.1
"Egypt, Arab Rep.",Africa,Developing,2000,37.1,46.6,175.924,Medio,0.14,98,64,27.6,98,98,0.13,2610,Medio,68.83,3.6,3.5,4.8,Bajo,68.6
"Egypt, Arab Rep.",Africa,Developing,2001,35.2,43.9,174.899,Medio,0.13,99,64,27.8,99,99,0.13,2652,Medio,70.15,3.5,3.4,4.9,Bajo,68.8
"Egypt, Arab Rep.",Africa,Developing,2002,33.5,41.5,173.8735,Medio,0.14,97,64,27.9,97,97,0.13,2665,Medio,71.49,3.4,3.4,5.1,Bajo,69
"Egypt, Arab Rep.",Africa,Developing,2003,32,39.4,172.614,Medio,0.14,98,64,28,98,98,0.13,2699,Medio,72.83,3.3,3.3,5.3,Bajo,69.1
"Egypt, Arab Rep.",Africa,Developing,2004,30.6,37.5,171.3545,Medio,0.14,97,64,28.1,97,97,0.13,2759,Medio,74.17,3.3,3.2,5.4,Bajo,69.3
"Egypt, Arab Rep.",Africa,Developing,2005,29.3,35.7,170.095,Medio,0.15,98,64,28.2,98,98,0.13,2830,Medio,75.52,3.2,3.2,5.6,Bajo,69.4
"Egypt, Arab Rep.",Africa,Developing,2006,28.2,34.2,168.835,Medio,0.17,98,64,28.3,98,98,0.13,2971,Medio,76.87,3.2,3.1,5.8,Bajo,69.6
"Egypt, Arab Rep.",Africa,Developing,2007,27.1,32.7,167.5755,Medio,0.19,98,64,28.4,98,98,0.13,3126,Medio,78.23,3.1,3.1,6,Bajo,69.8
"Egypt, Arab Rep.",Africa,Developing,2008,26,31.3,165.137,Medio,0.21,97,64,28.6,97,97,0.13,3291,Medio,79.64,3.1,3,6.2,Medio,70
"Egypt, Arab Rep.",Africa,Developing,2009,25,29.9,162.699,Medio,0.19,97,64,28.7,97,97,0.13,3381,Medio,81.13,3,3,6.4,Medio,70.2
"Egypt, Arab Rep.",Africa,Developing,2010,24,28.7,160.261,Medio,0.21,97,64,28.8,97,97,0.13,3485,Medio,82.76,3,2.9,6.5,Medio,70.3
"Egypt, Arab Rep.",Africa,Developing,2011,23.1,27.5,157.823,Medio,0.19,96,64,28.9,96,96,0.13,3473,Medio,84.53,2.9,2.9,6.7,Medio,70.5
"Egypt, Arab Rep.",Africa,Developing,2012,22.2,26.3,155.3845,Medio,0.19,93,64,29.1,93,93,0.13,3472,Medio,86.42,2.9,2.8,6.8,Medio,70.7
"Egypt, Arab Rep.",Africa,Developing,2013,21.3,25.3,153.433,Medio,0.19,97,64,29.2,97,97,0.13,3468,Medio,88.4,2.9,2.8,6.9,Medio,70.9
